campaign_id,start_date,end_date,channels,industry_name,expected_impressions_count,country_language_id,country_name,language_id,impressions,total_impressions,total_completes,exposed_completes,enough_sample_size,IP_enabled_api,campaign_length,log_impressions,log_campaign_length,impressions_per_exposed_complete,impressions_expected_vs_actual,log_impressions_actual,total_impressions_expected_vs_actual,lk_countrylanguageid,name,unique_respondents,completed_sessions,language,country,log_unique_respondents,log_completed_sessions,Geographical_subregion,Continental_region
c83ef925-d7cd-4e66-b2d3-1e3ab6ccb3a3,2024-01-15 00:00:00,2024-03-31 23:59:59.999000,Digital,Telecom and Technology,26500000,1,United States,9,14532725.0,14533423,1732,863,True,False,76,17.09265529095645,4.330733340286331,16840.582850521438,-11967275.0,16.49196158935689,-11966577,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
c89e8851-f37a-4abc-9364-de21510b4f14,2024-04-01 04:00:00,2024-07-01 03:59:00.000000,Digital,Home and Garden,4562875,1,United States,9,8416935.0,8418486,1531,764,True,True,90,15.333463465276148,4.499809670330265,11018.960732984293,3854060.0,15.94594056007451,3855611,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
c93d76e9-b9a8-4c2b-a51c-35985ce7e312,2024-06-07 04:00:00,2024-07-14 04:00:00.000000,Digital,Consumer Packaged Goods,16841948,5,Canada,6,39697377.0,39812325,2343,1172,True,True,37,16.639383237048012,3.610917912644224,33969.56058020478,22855429.0,17.4996870956826,22970377,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
c94587c3-123e-4c6b-b801-35eafde25c75,2024-04-01 00:00:00,2024-06-01 00:00:00.000000,Digital,Financial Services,5000000,1,United States,9,25292634.0,25292858,1500,749,True,True,61,15.424948470398371,4.110873864173311,33768.83578104139,20292634.0,17.046032621355604,20292858,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
c945a696-8b6d-4d3b-a0c8-342364fbfc13,2024-02-29 05:00:00,2024-04-21 04:00:00.000000,Digital,Telecom and Technology,11215000,18,Brazil,16,15281008.0,15607284,500,249,True,False,51,16.232762725936446,3.9318256327243257,62679.85542168675,4066008.0,16.56324828632203,4392284,16,Portuguese - Brazil,1882315,13891196,Portuguese,Brazil,14.448012960254644,16.446765816135283,South America,Americas
c977895c-73ac-4214-9c02-8a5a1d87009a,2024-02-06 00:00:00,2024-04-01 00:00:00.000000,Digital,Consumer Packaged Goods,8500000,16,Philippines,58,3869121.0,3869125,1568,699,True,False,55,15.955576721460544,4.007333185232471,5535.228898426323,-4630879.0,15.1685389412507,-4630875,58,English - Philippines,484214,2821736,English,Philippines,13.090282236740139,14.852862856345478,South-eastern Asia,Asia
ca01d60a-895e-4bfc-942d-0d1302c1912a,2024-01-15 05:00:00,2024-03-31 23:59:59.999000,Digital,Internet Services,20000000,18,Brazil,16,45198499.0,45284927,1698,844,True,True,76,16.811242831518264,4.330733340286331,53655.126777251186,25198499.0,17.628484797777077,25284927,16,Portuguese - Brazil,1882315,13891196,Portuguese,Brazil,14.448012960254644,16.446765816135283,South America,Americas
ca01fcfd-1ad4-4026-a53d-84d30e8eb1a8,2024-02-15 00:00:00,2024-07-31 23:59:59.999000,Digital,Travel and Tourism,32000000,1,United States,9,33400387.0,33714726,3430,1715,True,False,167,17.281246460764,5.1179938124167546,19658.732361516035,1400387.0,17.333445273171332,1714726,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
ca095d4e-6623-44ff-87aa-d7179960f326,2024-06-15 04:00:00,2024-07-31 04:00:00.000000,Digital,Consumer Packaged Goods,5243137,2,United Kingdom,8,5258083.0,5326388,1562,771,True,True,46,15.472430541291484,3.828641396489095,6908.41504539559,14946.0,15.488183892871552,83251,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
ca2e35d2-f196-4238-bc34-da47903de37a,2024-05-03 00:00:00,2024-08-01 00:00:00.000000,Digital,Other,21000000,1,United States,9,11368420.0,11368422,2643,1321,True,True,90,16.860032995687696,4.499809670330265,8605.921271763815,-9631580.0,16.24635006981533,-9631578,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
